day,country,news_count,avg_tone
2025/1/1,CN,1496,-0.519737807
2025/1/1,UK,1962,-0.974468636
2025/1/1,US,13213,-2.109384338
2025/1/10,CN,2753,-0.657303372
2025/1/10,UK,4693,-1.550012277
2025/1/10,US,27701,-2.330675201
2025/1/11,CN,1922,-0.676586609
2025/1/11,UK,2866,-1.730887347
2025/1/11,US,16478,-2.207622155
2025/1/12,CN,1588,-0.342344639
2025/1/12,UK,2605,-1.306748213
2025/1/12,US,11870,-2.044700136
2025/1/13,CN,2608,-0.18880296
2025/1/13,UK,4032,-0.966227388
2025/1/13,US,21542,-1.794187112
2025/1/14,CN,3329,-0.845598014
2025/1/14,UK,4778,-1.193574972
2025/1/14,US,26195,-1.860964588
2025/1/15,CN,3410,-0.487799985
2025/1/15,UK,4879,-0.954973608
2025/1/15,US,28716,-1.913969623
2025/1/16,CN,3498,-0.197582817
2025/1/16,UK,6167,-0.735881709
2025/1/16,US,28656,-1.740830892
2025/1/17,CN,3530,-0.271061818
2025/1/17,UK,5224,-0.957939659
2025/1/17,US,27445,-1.863740518
2025/1/18,CN,2014,-0.109646074
2025/1/18,UK,2967,-1.111070481
2025/1/18,US,18205,-1.879025432
2025/1/19,CN,1883,-0.423327445
2025/1/19,UK,2958,-1.642995026
2025/1/19,US,13807,-1.429688445
2025/1/2,CN,1820,-0.699973308
2025/1/2,UK,3033,-1.547369286
2025/1/2,US,16686,-2.196820421
2025/1/20,CN,3250,0.05708687
2025/1/20,UK,4436,-1.211013707
2025/1/20,US,24541,-0.93626822
2025/1/21,CN,3698,-0.255332169
2025/1/21,UK,4655,-1.371319406
2025/1/21,US,31784,-1.467357529
2025/1/22,CN,3843,-0.528027192
2025/1/22,UK,4444,-1.194452325
2025/1/22,US,30975,-1.935498911
2025/1/23,CN,3058,-0.435311594
2025/1/23,UK,4396,-1.675652787
2025/1/23,US,30405,-2.02134351
2025/1/24,CN,3337,-0.298794341
2025/1/24,UK,3960,-1.761132804
2025/1/24,US,29751,-2.285293278
2025/1/25,CN,1887,-0.263839044
2025/1/25,UK,2276,-1.562309093
2025/1/25,US,20182,-2.248978759
2025/1/26,CN,1979,0.245577207
2025/1/26,UK,2572,-1.520498344
2025/1/26,US,14053,-2.068730826
2025/1/27,CN,2875,-0.283225493
2025/1/27,UK,4170,-1.476112188
2025/1/27,US,23267,-2.069232656
2025/1/28,CN,3255,0.133660782
2025/1/28,UK,4028,-1.063159157
2025/1/28,US,29663,-1.924197428
2025/1/29,CN,2849,-0.095456572
2025/1/29,UK,4389,-1.189582811
2025/1/29,US,30527,-2.122251686
2025/1/3,CN,1992,-0.457762043
2025/1/3,UK,3456,-1.695172441
2025/1/3,US,20499,-2.203538186
2025/1/30,CN,2324,-0.292175629
2025/1/30,UK,3911,-0.844164246
2025/1/30,US,28305,-2.244256729
2025/1/31,CN,2606,-0.619521081
2025/1/31,UK,3688,-0.999668063
2025/1/31,US,26738,-2.193033479
2025/1/4,CN,1576,-1.504015297
2025/1/4,UK,2469,-1.722101663
2025/1/4,US,14107,-2.15473829
2025/1/5,CN,1173,-1.253216987
2025/1/5,UK,2625,-1.551544051
2025/1/5,US,10395,-2.030095156
2025/1/6,CN,2114,-1.020345339
2025/1/6,UK,4127,-1.918103167
2025/1/6,US,18223,-1.862432484
2025/1/7,CN,2995,-1.352802442
2025/1/7,UK,4517,-1.617125244
2025/1/7,US,24780,-1.909508452
2025/1/8,CN,2773,-0.923487948
2025/1/8,UK,4998,-1.707659462
2025/1/8,US,27450,-1.999927296
2025/1/9,CN,2758,-0.483176586
2025/1/9,UK,4786,-1.546879317
2025/1/9,US,28950,-1.968096511
2025/2/1,CN,1545,-0.555997809
2025/2/1,UK,2573,-1.190784296
2025/2/1,US,18723,-2.243655955
2025/2/10,CN,2591,-0.2536051
2025/2/10,UK,3667,-1.012233161
2025/2/10,US,21594,-1.871211706
2025/2/11,CN,2352,-0.414264032
2025/2/11,UK,4314,-1.102879692
2025/2/11,US,30056,-2.08118458
2025/2/12,CN,2413,-0.298318046
2025/2/12,UK,4460,-0.79081584
2025/2/12,US,31802,-1.782235728
2025/2/13,CN,3294,-0.831473787
2025/2/13,UK,4649,-1.08430622
2025/2/13,US,31781,-1.666216918
2025/2/14,CN,2712,-0.871805116
2025/2/14,UK,4505,-0.96309369
2025/2/14,US,31080,-1.873530077
2025/2/15,CN,1739,-0.697644399
2025/2/15,UK,2667,-1.21332926
2025/2/15,US,18820,-2.046737337
2025/2/16,CN,1466,0.348708712
2025/2/16,UK,3263,-0.900462895
2025/2/16,US,14899,-1.609194525
2025/2/17,CN,2887,-0.690721171
2025/2/17,UK,5637,-0.654053105
2025/2/17,US,22461,-1.726893603
2025/2/18,CN,2848,-0.434736574
2025/2/18,UK,4931,-0.840680227
2025/2/18,US,28224,-1.859762431
2025/2/19,CN,2642,-0.961689899
2025/2/19,UK,4845,-0.96730209
2025/2/19,US,29505,-2.087444851
2025/2/2,CN,1815,-1.326917827
2025/2/2,UK,2313,-0.988502714
2025/2/2,US,13965,-1.95173769
2025/2/20,CN,3139,-0.668421357
2025/2/20,UK,4844,-1.094793703
2025/2/20,US,30708,-1.920286214
2025/2/21,CN,3161,-0.700297483
2025/2/21,UK,4243,-1.104101822
2025/2/21,US,29459,-2.113298762
2025/2/22,CN,1675,-0.675000782
2025/2/22,UK,2659,-0.639758295
2025/2/22,US,19586,-2.086831359
2025/2/23,CN,1414,-1.016438335
2025/2/23,UK,2981,-0.859021308
2025/2/23,US,14185,-1.734923828
2025/2/24,CN,2658,-0.262828431
2025/2/24,UK,5069,-0.900679184
2025/2/24,US,24214,-1.667687501
2025/2/25,CN,2794,-0.850860007
2025/2/25,UK,5465,-1.234137459
2025/2/25,US,29749,-1.899584422
2025/2/26,CN,2753,-0.54168859
2025/2/26,UK,5078,-0.877407225
2025/2/26,US,30629,-1.700166359
2025/2/27,CN,2834,-1.762614586
2025/2/27,UK,6092,-0.543255698
2025/2/27,US,31116,-1.731001222
2025/2/28,CN,3165,-1.238583559
2025/2/28,UK,6176,-0.51717102
2025/2/28,US,32428,-1.799182534
2025/2/3,CN,2972,-0.955649028
2025/2/3,UK,4183,-1.107894693
2025/2/3,US,24006,-1.752644388
2025/2/4,CN,3724,-1.399349296
2025/2/4,UK,4220,-1.068374924
2025/2/4,US,30533,-2.089205825
2025/2/5,CN,3699,-0.450383038
2025/2/5,UK,4439,-0.755982724
2025/2/5,US,32923,-2.120538933
2025/2/6,CN,3383,-0.059418664
2025/2/6,UK,4295,-0.94613712
2025/2/6,US,30774,-2.07411104
2025/2/7,CN,2948,-0.494357601
2025/2/7,UK,3891,-1.291491183
2025/2/7,US,29179,-2.163883939
2025/2/8,CN,1654,-0.548262406
2025/2/8,UK,2414,-1.762468757
2025/2/8,US,18413,-2.031730964
2025/2/9,CN,1251,-0.662957587
2025/2/9,UK,2311,-1.413746648
2025/2/9,US,12670,-1.856878398
2025/3/1,CN,51,1.162168457
2025/3/1,UK,82662,0.304757366
2025/3/1,US,378115,-0.842409116
2025/3/10,CN,53,0.065014751
2025/3/10,UK,110637,-0.320205412
2025/3/10,US,447610,-0.912196959
2025/3/11,CN,88,1.214590435
2025/3/11,UK,101612,-0.610486799
2025/3/11,US,523334,-0.983703509
2025/3/12,CN,80,0.567290871
2025/3/12,UK,115615,-0.543779144
2025/3/12,US,564473,-0.97637022
2025/3/13,CN,61,1.409751779
2025/3/13,UK,104711,-0.423564221
2025/3/13,US,538840,-1.046399139
2025/3/14,CN,103,-2.071783857
2025/3/14,UK,98219,-0.143469038
2025/3/14,US,534175,-1.116886667
2025/3/15,CN,99,-0.636532096
2025/3/15,UK,62294,-0.310574307
2025/3/15,US,351348,-2.010141843
2025/3/16,CN,42,-1.116617135
2025/3/16,UK,64112,-0.014034792
2025/3/16,US,279542,-2.081610762
2025/3/17,CN,81,-0.687532992
